District,Month,Visitors
Adilabad,January,792136
Adilabad,February,937820
Adilabad,March,582946
Adilabad,April,341948
Adilabad,May,252887
Adilabad,June,368237
Adilabad,July,447562
Adilabad,August,614285
Adilabad,September,491279
Adilabad,October,94184
Adilabad,November,99148
Adilabad,December,53125
Bhadradri Kothagudem ,January, 
Bhadradri Kothagudem ,February, 
Bhadradri Kothagudem ,March, 
Bhadradri Kothagudem ,April, 
Bhadradri Kothagudem ,May, 
Bhadradri Kothagudem ,June, 
Bhadradri Kothagudem ,July, 
Bhadradri Kothagudem ,August, 
Bhadradri Kothagudem ,September, 
Bhadradri Kothagudem ,October,310133
Bhadradri Kothagudem ,November,252127
Bhadradri Kothagudem ,December,326770
Hyderabad,January,1122510
Hyderabad,February,778748
Hyderabad,March,1017794
Hyderabad,April,1127738
Hyderabad,May,1287181
Hyderabad,June,12032661
Hyderabad,July,1096754
Hyderabad,August,1061137
Hyderabad,September,832987
Hyderabad,October,901960
Hyderabad,November,909733
Hyderabad,December,1225502
Jagtial ,January, 
Jagtial ,February, 
Jagtial ,March, 
Jagtial ,April, 
Jagtial ,May, 
Jagtial ,June, 
Jagtial ,July, 
Jagtial ,August, 
Jagtial ,September, 
Jagtial ,October,201249
Jagtial ,November,214534
Jagtial ,December,207294
Jangaon ,January, 
Jangaon ,February, 
Jangaon ,March, 
Jangaon ,April, 
Jangaon ,May, 
Jangaon ,June, 
Jangaon ,July, 
Jangaon ,August, 
Jangaon ,September, 
Jangaon ,October,14770
Jangaon ,November,13210
Jangaon ,December,12680
Jayashankar Bhoopalpally,January, 
Jayashankar Bhoopalpally,February, 
Jayashankar Bhoopalpally,March, 
Jayashankar Bhoopalpally,April, 
Jayashankar Bhoopalpally,May, 
Jayashankar Bhoopalpally,June, 
Jayashankar Bhoopalpally,July, 
Jayashankar Bhoopalpally,August, 
Jayashankar Bhoopalpally,September, 
Jayashankar Bhoopalpally,October,76360
Jayashankar Bhoopalpally,November,81580
Jayashankar Bhoopalpally,December,85460
Jogulamba Gadwal ,January, 
Jogulamba Gadwal ,February, 
Jogulamba Gadwal ,March, 
Jogulamba Gadwal ,April, 
Jogulamba Gadwal ,May, 
Jogulamba Gadwal ,June, 
Jogulamba Gadwal ,July, 
Jogulamba Gadwal ,August, 
Jogulamba Gadwal ,September, 
Jogulamba Gadwal ,October,152898
Jogulamba Gadwal ,November,188170
Jogulamba Gadwal ,December,182333
Kamareddy ,January, 
Kamareddy ,February, 
Kamareddy ,March, 
Kamareddy ,April, 
Kamareddy ,May, 
Kamareddy ,June, 
Kamareddy ,July, 
Kamareddy ,August, 
Kamareddy ,September, 
Kamareddy ,October,47
Kamareddy ,November,38
Kamareddy ,December,42
Karimnagar ,January,1984442
Karimnagar ,February,779960
Karimnagar ,March,1018399
Karimnagar ,April,956959
Karimnagar ,May,1095642
Karimnagar ,June,914746
Karimnagar ,July,401047
Karimnagar ,August,1018399
Karimnagar ,September,956959
Karimnagar ,October,13675
Karimnagar ,November,13350
Karimnagar ,December,13890
Khammam,January,651827
Khammam,February,407533
Khammam,March,458527
Khammam,April,971622
Khammam,May,433994
Khammam,June,445862
Khammam,July,414963
Khammam,August,503654
Khammam,September,368437
Khammam,October,121575
Khammam,November,110634
Khammam,December,116403
Komaram Bheem Asifabad,January, 
Komaram Bheem Asifabad,February, 
Komaram Bheem Asifabad,March, 
Komaram Bheem Asifabad,April, 
Komaram Bheem Asifabad,May, 
Komaram Bheem Asifabad,June, 
Komaram Bheem Asifabad,July, 
Komaram Bheem Asifabad,August, 
Komaram Bheem Asifabad,September, 
Komaram Bheem Asifabad,October,0
Komaram Bheem Asifabad,November,0
Komaram Bheem Asifabad,December,0
Mahabubabad ,January, 
Mahabubabad ,February, 
Mahabubabad ,March, 
Mahabubabad ,April, 
Mahabubabad ,May, 
Mahabubabad ,June, 
Mahabubabad ,July, 
Mahabubabad ,August, 
Mahabubabad ,September, 
Mahabubabad ,October,13032
Mahabubabad ,November,114015
Mahabubabad ,December,12955
