District,Month,Visitors
Adilabad,January,320356
Adilabad,February,36550
Adilabad,March,23011
Adilabad,April,14183
Adilabad,May,8197
Adilabad,June,12052
Adilabad,July,24666
Adilabad,August,38939
Adilabad,September,25875
Adilabad,October,30257
Adilabad,November,49181
Adilabad,December,61476
Bhadradri Kothagudem ,January,421275
Bhadradri Kothagudem ,February,240634
Bhadradri Kothagudem ,March,421275
Bhadradri Kothagudem ,April,341258
Bhadradri Kothagudem ,May,291273
Bhadradri Kothagudem ,June,290512
Bhadradri Kothagudem ,July,220304
Bhadradri Kothagudem ,August,219548
Bhadradri Kothagudem ,September,334878
Bhadradri Kothagudem ,October,322974
Bhadradri Kothagudem ,November,253464
Bhadradri Kothagudem ,December,442483
Hyderabad,January,1978396
Hyderabad,February,1365837
Hyderabad,March,1415938
Hyderabad,April,1586375
Hyderabad,May,1189492
Hyderabad,June,1595067
Hyderabad,July,1470042
Hyderabad,August,1591470
Hyderabad,September,1508086
Hyderabad,October,2207478
Hyderabad,November,1671320
Hyderabad,December,1964150
Jagtial ,January,614082
Jagtial ,February,349576
Jagtial ,March,416716
Jagtial ,April,372874
Jagtial ,May,641363
Jagtial ,June,182505
Jagtial ,July,182473
Jagtial ,August,272685
Jagtial ,September,273121
Jagtial ,October,138206
Jagtial ,November,277997
Jagtial ,December,231323
Jangaon ,January,17180
Jangaon ,February,18600
Jangaon ,March,17300
Jangaon ,April,18100
Jangaon ,May,19660
Jangaon ,June,23050
Jangaon ,July,26280
Jangaon ,August,26020
Jangaon ,September,28830
Jangaon ,October,29470
Jangaon ,November,29570
Jangaon ,December,36962
Jayashankar Bhoopalpally,January,6519850
Jayashankar Bhoopalpally,February,8626250
Jayashankar Bhoopalpally,March,146150
Jayashankar Bhoopalpally,April,149150
Jayashankar Bhoopalpally,May,152050
Jayashankar Bhoopalpally,June,159400
Jayashankar Bhoopalpally,July,128550
Jayashankar Bhoopalpally,August,184700
Jayashankar Bhoopalpally,September,192300
Jayashankar Bhoopalpally,October,195400
Jayashankar Bhoopalpally,November,196500
Jayashankar Bhoopalpally,December,245625
Jogulamba Gadwal ,January,146441
Jogulamba Gadwal ,February,481110
Jogulamba Gadwal ,March,155013
Jogulamba Gadwal ,April,138673
Jogulamba Gadwal ,May,131426
Jogulamba Gadwal ,June,160182
Jogulamba Gadwal ,July,114951
Jogulamba Gadwal ,August,123733
Jogulamba Gadwal ,September,121710
Jogulamba Gadwal ,October,152898
Jogulamba Gadwal ,November,128075
Jogulamba Gadwal ,December,182333
Kamareddy ,January,44
Kamareddy ,February,44
Kamareddy ,March,45
Kamareddy ,April,45
Kamareddy ,May,49
Kamareddy ,June,56
Kamareddy ,July,48
Kamareddy ,August,55
Kamareddy ,September,40
Kamareddy ,October,62
Kamareddy ,November,41
Kamareddy ,December,43
Karimnagar ,January,13505
Karimnagar ,February,9330
Karimnagar ,March,7205
Karimnagar ,April,5830
Karimnagar ,May,5689
Karimnagar ,June,7180
Karimnagar ,July,6686
Karimnagar ,August,8480
Karimnagar ,September,8480
Karimnagar ,October,6118
Karimnagar ,November,7145
Karimnagar ,December,7800
Khammam,January,110094
Khammam,February,104444
Khammam,March,127152
Khammam,April,126553
Khammam,May,135189
Khammam,June,135988
Khammam,July,85932
Khammam,August,86309
Khammam,September,143465
Khammam,October,127645
Khammam,November,99070
Khammam,December,135600
Komaram Bheem Asifabad,January,2863
Komaram Bheem Asifabad,February,2736
Komaram Bheem Asifabad,March,1826
Komaram Bheem Asifabad,April,868
Komaram Bheem Asifabad,May,793
Komaram Bheem Asifabad,June,990
Komaram Bheem Asifabad,July,1954
Komaram Bheem Asifabad,August,2263
Komaram Bheem Asifabad,September,1819
Komaram Bheem Asifabad,October,2525
Komaram Bheem Asifabad,November,1741
Komaram Bheem Asifabad,December,2176
Mahabubabad ,January,14000
Mahabubabad ,February,14230
Mahabubabad ,March,13110
Mahabubabad ,April,12915
Mahabubabad ,May,12865
Mahabubabad ,June,13910
Mahabubabad ,July,13970
Mahabubabad ,August,13200
Mahabubabad ,September,13420
Mahabubabad ,October,13550
Mahabubabad ,November,13700
Mahabubabad ,December,17125
Mahbubnagar,January,156153
Mahbubnagar,February,788083
Mahbubnagar,March,166863
Mahbubnagar,April,196061
Mahbubnagar,May,193478
Mahbubnagar,June,165553
Mahbubnagar,July,161841
Mahbubnagar,August,169154
Mahbubnagar,September,167833
Mahbubnagar,October,193152
Mahbubnagar,November,295910
Mahbubnagar,December,198227
Mancherial,January,71955
Mancherial,February,38599
Mancherial,March,20749
Mancherial,April,38483
Mancherial,May,26179
Mancherial,June,31667
Mancherial,July,27937
Mancherial,August,31861
Mancherial,September,23141
Mancherial,October,30740
Mancherial,November,25197
Mancherial,December,31496
Medak ,January,100000
Medak ,February,1000000
Medak ,March,600000
Medak ,April,200000
Medak ,May,300000
Medak ,June,500000
Medak ,July,150000
Medak ,August,50000
Medak ,September,100000
Medak ,October,300000
Medak ,November,200000
Medak ,December,400000
Medchal ,January, 
Medchal ,February, 
Medchal ,March, 
Medchal ,April, 
Medchal ,May, 
Medchal ,June, 
Medchal ,July, 
Medchal ,August, 
Medchal ,September, 
Medchal ,October, 
Medchal ,November, 
Medchal ,December, 
Nagarkurnool ,January,228812
Nagarkurnool ,February,286258
Nagarkurnool ,March,184508
Nagarkurnool ,April,174592
Nagarkurnool ,May,183697
Nagarkurnool ,June,180010
Nagarkurnool ,July,93450
Nagarkurnool ,August,118010
Nagarkurnool ,September,118449
Nagarkurnool ,October,201050
Nagarkurnool ,November,121452
Nagarkurnool ,December,198637
Nalgonda,January,36205
Nalgonda,February,9971
Nalgonda,March,9677
Nalgonda,April,9779
Nalgonda,May,10241
Nalgonda,June,9066
Nalgonda,July,9668
Nalgonda,August,10135
Nalgonda,September,21365
Nalgonda,October,22332
Nalgonda,November,5422
Nalgonda,December,6777
Nirmal,January,480241
Nirmal,February,335447
Nirmal,March,328099
Nirmal,April,368645
Nirmal,May,342650
Nirmal,June,355197
Nirmal,July,335356
Nirmal,August,313910
Nirmal,September,293859
Nirmal,October,373291
Nirmal,November,289169
Nirmal,December,361461
Nizamabad,January,2495
Nizamabad,February,7152
Nizamabad,March,2903
Nizamabad,April,3550
Nizamabad,May,5360
Nizamabad,June,1761
Nizamabad,July,5882
Nizamabad,August,10525
Nizamabad,September,475
Nizamabad,October,490
Nizamabad,November,475
Nizamabad,December,355
Peddapalli,January,2670
Peddapalli,February,2695
Peddapalli,March,2325
Peddapalli,April,1940
Peddapalli,May,1499
Peddapalli,June,1580
Peddapalli,July,1580
Peddapalli,August,1595
Peddapalli,September,1475
Peddapalli,October,1545
Peddapalli,November,1655
Peddapalli,December,1695
Rajanna Sircilla ,January,2238074
Rajanna Sircilla ,February,1021787
Rajanna Sircilla ,March,1022669
Rajanna Sircilla ,April,833874
Rajanna Sircilla ,May,1021952
Rajanna Sircilla ,June,320886
Rajanna Sircilla ,July,937720
Rajanna Sircilla ,August,320952
Rajanna Sircilla ,September,818693
Rajanna Sircilla ,October,506563
Rajanna Sircilla ,November,840933
Rajanna Sircilla ,December,950128
Ranga Reddy,January, 
Ranga Reddy,February, 
Ranga Reddy,March, 
Ranga Reddy,April, 
Ranga Reddy,May, 
Ranga Reddy,June, 
Ranga Reddy,July, 
Ranga Reddy,August, 
Ranga Reddy,September, 
Ranga Reddy,October, 
Ranga Reddy,November, 
Ranga Reddy,December, 
Sangareddy ,January,254000
Sangareddy ,February,540000
Sangareddy ,March,158500
Sangareddy ,April,162500
Sangareddy ,May,157000
Sangareddy ,June,93500
Sangareddy ,July,108600
Sangareddy ,August,205000
Sangareddy ,September,125000
Sangareddy ,October,171800
Sangareddy ,November,160000
Sangareddy ,December,134000
Siddipet,January,253000
Siddipet,February,44000
Siddipet,March,164800
Siddipet,April,115000
Siddipet,May,165200
Siddipet,June,104300
Siddipet,July,54000
Siddipet,August,100000
Siddipet,September,55000
Siddipet,October,43000
Siddipet,November,135000
Siddipet,December,50000
Suryapet,January,
Suryapet,February,
Suryapet,March,
Suryapet,April,
Suryapet,May,
Suryapet,June,
Suryapet,July,
Suryapet,August,
Suryapet,September,
Suryapet,October,
Suryapet,November,
Suryapet,December,
Vikarabad,January, 
Vikarabad,February, 
Vikarabad,March, 
Vikarabad,April, 
Vikarabad,May, 
Vikarabad,June, 
Vikarabad,July, 
Vikarabad,August, 
Vikarabad,September, 
Vikarabad,October, 
Vikarabad,November, 
Vikarabad,December, 
Wanaparthy ,January,28131
Wanaparthy ,February,22341
Wanaparthy ,March,20050
Wanaparthy ,April,10550
Wanaparthy ,May,11502
Wanaparthy ,June,19092
Wanaparthy ,July,32625
Wanaparthy ,August,35860
Wanaparthy ,September,32002
Wanaparthy ,October,21234
Wanaparthy ,November,32657
Wanaparthy ,December,20556
Warangal (Rural),January,25200
Warangal (Rural),February,26300
Warangal (Rural),March,26200
Warangal (Rural),April,21600
Warangal (Rural),May,22100
Warangal (Rural),June,23100
Warangal (Rural),July,25900
Warangal (Rural),August,25700
Warangal (Rural),September,25800
Warangal (Rural),October,26000
Warangal (Rural),November,24050
Warangal (Rural),December,30062
Warangal (Urban),January,137530
Warangal (Urban),February,145750
Warangal (Urban),March,140300
Warangal (Urban),April,142510
Warangal (Urban),May,143425
Warangal (Urban),June,135615
Warangal (Urban),July,136560
Warangal (Urban),August,136760
Warangal (Urban),September,138780
Warangal (Urban),October,140948
Warangal (Urban),November,144515
Warangal (Urban),December,180643
Yadadri Bhongir,January,2016000
Yadadri Bhongir,February,3073872
Yadadri Bhongir,March,2836580
Yadadri Bhongir,April,692370
Yadadri Bhongir,May,781842
Yadadri Bhongir,June,577570
Yadadri Bhongir,July,671156
Yadadri Bhongir,August,526445
Yadadri Bhongir,September,819350
Yadadri Bhongir,October,586475
Yadadri Bhongir,November,485208
Yadadri Bhongir,December,606510
