District,Month,Visitors
Khammam,August,129159
Khammam,September,140821
Khammam,October,155943
Khammam,November,110800
Khammam,December,137825
Komaram Bheem Asifabad,January,2241
Komaram Bheem Asifabad,February,2490
Komaram Bheem Asifabad,March,2767
Komaram Bheem Asifabad,April,3074
Komaram Bheem Asifabad,May,3416
Komaram Bheem Asifabad,June,3796
Komaram Bheem Asifabad,July,3713
Komaram Bheem Asifabad,August,3665
Komaram Bheem Asifabad,September,3934
Komaram Bheem Asifabad,October,14050
Komaram Bheem Asifabad,November,3627
Komaram Bheem Asifabad,December,4218
Mahabubabad ,January,13260
Mahabubabad ,February,13045
Mahabubabad ,March,9100
Mahabubabad ,April,9140
Mahabubabad ,May,10220
Mahabubabad ,June,10130
Mahabubabad ,July,10170
Mahabubabad ,August,12520
Mahabubabad ,September,13140
Mahabubabad ,October,13750
Mahabubabad ,November,13560
Mahabubabad ,December,13780
Mahbubnagar,January,446135
Mahbubnagar,February,805392
Mahbubnagar,March,178256
Mahbubnagar,April,208694
Mahbubnagar,May,214209
Mahbubnagar,June,179210
Mahbubnagar,July,179099
Mahbubnagar,August,215229
Mahbubnagar,September,180675
Mahbubnagar,October,196103
Mahbubnagar,November,259060
Mahbubnagar,December,426167
Mancherial,January,2937
Mancherial,February,3130
Mancherial,March,2775
Mancherial,April,1513
Mancherial,May,1424
Mancherial,June,2119
Mancherial,July,33591
Mancherial,August,26104
Mancherial,September,24297
Mancherial,October,37671
Mancherial,November,25737
Mancherial,December,30328
Medak ,January,523000
Medak ,February,543321
Medak ,March,548535
Medak ,April,554864
Medak ,May,556891
Medak ,June,561469
Medak ,July,575300
Medak ,August,632830
Medak ,September,696113
Medak ,October,765724
Medak ,November,842296
Medak ,December,926526
Medchal ,January, 
Medchal ,February, 
Medchal ,March, 
Medchal ,April, 
Medchal ,May, 
Medchal ,June, 
Medchal ,July, 
Medchal ,August, 
Medchal ,September, 
Medchal ,October, 
Medchal ,November, 
Medchal ,December, 
Nagarkurnool ,January,382879
Nagarkurnool ,February,286258
Nagarkurnool ,March,184508
Nagarkurnool ,April,183697
Nagarkurnool ,May,183697
Nagarkurnool ,June,180010
Nagarkurnool ,July,180010
Nagarkurnool ,August,181861
Nagarkurnool ,September,118010
Nagarkurnool ,October,201050
Nagarkurnool ,November,188786
Nagarkurnool ,December,382879
Nalgonda,January,4447
Nalgonda,February,8652
Nalgonda,March,8054
Nalgonda,April,44295
Nalgonda,May,10750
Nalgonda,June,37879
Nalgonda,July,21361
Nalgonda,August,9363
Nalgonda,September,17465
Nalgonda,October,36066
Nalgonda,November,17687
Nalgonda,December,25897
Nirmal,January,340311
Nirmal,February,415326
Nirmal,March,442057
Nirmal,April,274132
Nirmal,May,297233
Nirmal,June,340359
Nirmal,July,328101
Nirmal,August,340430
Nirmal,September,528540
Nirmal,October,388644
Nirmal,November,369365
Nirmal,December,340585
Nizamabad,January,613
Nizamabad,February,1752
Nizamabad,March,660
Nizamabad,April,1048
Nizamabad,May,1341
Nizamabad,June,2391
Nizamabad,July,1520
Nizamabad,August,1583
Nizamabad,September,933
Nizamabad,October,6644
Nizamabad,November,1677
Nizamabad,December,1787
Peddapalli,January,1345
Peddapalli,February,1378
Peddapalli,March,965
Peddapalli,April,750
Peddapalli,May,640
Peddapalli,June,885
Peddapalli,July,1095
Peddapalli,August,1385
Peddapalli,September,1155
Peddapalli,October,1595
Peddapalli,November,1940
Peddapalli,December,1765
Rajanna Sircilla ,January,615842
Rajanna Sircilla ,February,1255569
Rajanna Sircilla ,March,1030441
Rajanna Sircilla ,April,1146782
Rajanna Sircilla ,May,1117228
Rajanna Sircilla ,June,1113882
Rajanna Sircilla ,July,462022
Rajanna Sircilla ,August,1004410
Rajanna Sircilla ,September,487060
Rajanna Sircilla ,October,845620
Rajanna Sircilla ,November,1191129
Rajanna Sircilla ,December,1649362
Ranga Reddy,January, 
Ranga Reddy,February, 
Ranga Reddy,March, 
Ranga Reddy,April, 
Ranga Reddy,May, 
Ranga Reddy,June, 
Ranga Reddy,July, 
Ranga Reddy,August, 
Ranga Reddy,September, 
Ranga Reddy,October, 
Ranga Reddy,November, 
Ranga Reddy,December, 
Sangareddy ,January,195000
Sangareddy ,February,140000
Sangareddy ,March,275000
Sangareddy ,April,215000
Sangareddy ,May,215000
Sangareddy ,June,180000
Sangareddy ,July,195000
Sangareddy ,August,295000
Sangareddy ,September,200000
Sangareddy ,October,232000
Sangareddy ,November,324500
Sangareddy ,December,356950
Siddipet,January,80500
Siddipet,February,80500
Siddipet,March,80500
Siddipet,April,80500
Siddipet,May,80500
Siddipet,June,60000
Siddipet,July,88550
Siddipet,August,97405
Siddipet,September,107146
Siddipet,October,117861
Siddipet,November,129647
Siddipet,December,142612
Suryapet,January,0
Suryapet,February,0
Suryapet,March,0
Suryapet,April,0
Suryapet,May,0
Suryapet,June,0
Suryapet,July,0
Suryapet,August,0
Suryapet,September,0
Suryapet,October,0
Suryapet,November,0
Suryapet,December,0
Vikarabad,January, 
Vikarabad,February, 
Vikarabad,March, 
Vikarabad,April, 
Vikarabad,May, 
Vikarabad,June, 
Vikarabad,July, 
Vikarabad,August, 
Vikarabad,September, 
Vikarabad,October, 
Vikarabad,November, 
Vikarabad,December, 
Wanaparthy ,January,22152
Wanaparthy ,February,22342
Wanaparthy ,March,20050
Wanaparthy ,April,11502
Wanaparthy ,May,11502
Wanaparthy ,June,19092
Wanaparthy ,July,19092
Wanaparthy ,August,21375
Wanaparthy ,September,35860
Wanaparthy ,October,21234
Wanaparthy ,November,18348
Wanaparthy ,December,22152
Warangal (Rural),January,8000
Warangal (Rural),February,8300
Warangal (Rural),March,7800
Warangal (Rural),April,7600
Warangal (Rural),May,8500
Warangal (Rural),June,9000
Warangal (Rural),July,13600
Warangal (Rural),August,13650
Warangal (Rural),September,13800
Warangal (Rural),October,16500
Warangal (Rural),November,16300
Warangal (Rural),December,21200
Warangal (Urban),January,130608
Warangal (Urban),February,126608
Warangal (Urban),March,118298
Warangal (Urban),April,107133
Warangal (Urban),May,109915
Warangal (Urban),June,111530
Warangal (Urban),July,116545
Warangal (Urban),August,116810
Warangal (Urban),September,117150
Warangal (Urban),October,119255
Warangal (Urban),November,119360
Warangal (Urban),December,126790
Yadadri Bhongir,January,678000
Yadadri Bhongir,February,540500
Yadadri Bhongir,March,525588
Yadadri Bhongir,April,570000
Yadadri Bhongir,May,458700
Yadadri Bhongir,June,685880
Yadadri Bhongir,July,481240
Yadadri Bhongir,August,680720
Yadadri Bhongir,September,678925
Yadadri Bhongir,October,683500
Yadadri Bhongir,November,537600
Yadadri Bhongir,December,481075
